challenge,qubits,method,bitstring,probability,status
challenge-40_35,40,marginal,0101100110111111110000010101000010001001,5.013e-06,failed
challenge-48_36,48,marginal,000111011011001100110001001000101001101010111000,1.171e-05,failed
challenge-48_37,48,marginal,100101111110101101010100100100001011010100001010,1.834e-06,failed
challenge-56_39,56,marginal,10010111001101010101111111010110110100110000111001010000,0.003,success
challenge-64_40,64,marginal,1010010011111010110111100100010010000011111010110101100101001100,8.373e-09,failed
challenge-64_41,64,marginal,1011001100010011000101010010110111001000000011010001000011110010,0.0006714,success
