challenge,qubits,method,bitstring,probability,status
challenge-8_27,8,statevector,11001001,0.288,success
challenge-16_28,16,statevector,1101001111011100,0.396,success
challenge-24_29,24,MPS,110100000111101001001001,0.001,failed
challenge-32_30,32,MPS,10011000010011110111101111010111,0.012,success
challenge-48_31,48,MPS,101100111000101011111111101010111011011000110110,0.37,success
challenge-48_32,48,MPS,011101010111011110001110010101010101101110001110,0.119,success
challenge-56_33,56,MPS,11001001100100001111010100100010010101111111011101010000,0.034,success
challenge-64_34,64,MPS,0011010100010011001110101110100101101011001011011001111011100110,0.137,success
